total_time,silent_pauses,total_syllables,phonation_time,confidence
1.94,0,11,1.94,1
3.82,1,13,2.906,0
9.32,4,32,7.114,0
1.88,0,8,1.462,0
4.3,2,12,3.166,0
2.17,0,13,2.17,-1
0.92,0,6,0.92,0
4.67,2,10,3.614,0
6.46,3,26,4.656,0
2.83,0,14,2.56,0
1.01,0,1,0.69,0
3.61,0,13,3.184,0
0.8,0,2,0.79,0
1.22,0,6,1.152,0
3.45,0,17,3.354,1
0.5,0,1,0.488,0
1.38,1,3,0.8,-1
0.04,0,1,0.03999999999996362,0
0.41,0,2,0.402,-1
1.15,0,6,1.15,-1
1.52,0,10,1.52,0
2.46,1,7,2.076,0
3.29,0,17,2.82,0
2.41,1,4,1.488,1
0.61,0,1,0.448,1
0.59,0,1,0.4,0
0.38,0,1,0.336,0
0.92,0,2,0.224,0
3.77,1,12,3.296,-1
1.0,0,2,0.8,0
2.81,1,6,2.24,-1
3.43,0,17,3.43,0
4.11,0,16,4.11,0
2.57,0,10,2.57,0
2.87,1,11,1.862,0
0.32,0,1,0.32,-1
2.81,0,9,2.81,0
1.07,0,2,1.036,0
3.75,0,16,3.75,0
0.9,0,8,0.9,0
1.22,0,7,1.22,0
3.43,0,17,3.43,0
4.11,0,16,4.11,0
1.52,0,8,1.52,-1
2.57,0,10,2.57,0
1.21,0,5,1.21,1
5.24,1,17,4.384,0
2.87,1,11,1.862,0
0.32,0,1,0.32,-1
1.9,0,5,1.9,1
0.99,0,2,0.99,0
0.43,0,1,0.43,0
2.95,0,5,2.95,0
2.58,0,17,2.58,1
3.75,0,16,3.75,0
0.9,0,8,0.9,0
1.07,0,2,1.036,0
3.3,0,12,3.3,0
1.25,0,6,1.25,1
1.43,0,9,0.896,1
1.77,1,1,0.842,-1
1.18,0,1,0.598,0
1.19,0,8,1.19,0
0.27,0,1,0.27,1
3.17,0,11,3.17,1
5.3,2,24,3.604,0
0.22,0,1,0.22,0
0.32,0,1,0.32,0
0.9,0,6,0.9,1
2.03,0,8,1.372,1
1.54,0,7,1.54,0
0.66,0,2,0.66,0
0.14,0,1,0.14,1
0.16,0,1,0.16,1
6.16,3,15,4.096,1
0.22,0,1,0.22,0
1.47,0,9,1.378,1
0.62,0,1,0.426,1
0.46,0,1,0.442,0
2.76,1,12,1.798,0
1.21,0,2,0.412,0
2.63,0,9,1.792,0
2.67,2,11,1.41,0
4.02,1,13,3.22,1
1.62,0,10,1.59,0
0.69,0,1,0.69,0
1.42,0,8,1.376,-1
0.43,0,2,0.368,0
0.54,0,2,0.524,0
0.91,0,7,0.91,1
0.8,0,1,0.736,0
0.26,0,1,0.232,-1
3.84,1,10,3.146,1
4.52,1,10,3.056,0
2.48,0,9,1.936,0
2.66,1,2,1.226,0
3.49,1,16,3.152,1
1.91,1,9,1.526,-1
0.12,0,1,0.048,1
6.36,2,16,5.4,0
4.72,2,15,3.144,1
1.32,0,7,1.32,1
0.84,0,6,0.84,1
0.74,0,1,0.728,1
5.08,1,22,4.112,0
0.43,0,1,0.42,1
1.24,0,2,0.508,1
0.32,0,1,0.286,1
1.6,0,7,1.6,-1
1.31,1,4,0.814,-1
1.25,0,2,1.008,-1
4.05,3,7,2.178,1
4.5,1,12,2.858,0
6.52,1,24,4.792,1
6.24,4,13,3.296,-1
0.47,0,1,0.384,0
7.79,1,26,6.928,-1
0.75,0,4,0.75,0
1.62,1,4,0.82,0
0.94,0,5,0.832,0
1.91,0,14,1.91,0
8.62,3,24,5.652,0
1.19,0,4,0.66,-1
5.73,1,29,5.14,1
0.98,0,1,0.51,0
2.58,1,12,2.02,-1
1.17,0,2,0.722,0
0.63,0,5,0.604,1
0.68,0,2,0.68,0
2.16,0,5,1.3,0
1.86,1,3,0.738,0
0.5,0,2,0.304,0
0.8,0,1,0.496,0
2.37,0,12,1.952,1
2.71,0,18,2.576,1
2.62,2,2,1.024,1
1.55,0,6,0.56,1
0.86,0,2,0.272,0
2.64,0,11,2.64,1
3.0,1,12,2.306,-1
1.54,0,5,1.54,-1
1.05,0,3,0.544,0
0.4,0,2,0.4,0
1.03,0,5,0.994,-1
0.52,0,1,0.5,1
3.38,1,8,2.19,-1
0.51,0,2,0.492,-1
0.48,0,1,0.464,1
2.87,0,12,2.676,1
5.43,2,21,3.794,0
0.72,0,2,0.35,1
0.23,0,2,0.184,1
1.66,0,6,1.016,-1
1.88,0,8,1.408,-1
0.7,0,1,0.376,1
1.74,1,4,1.136,-1
1.37,0,9,1.37,-1
2.99,1,16,2.544,-1
2.97,2,4,1.45,-1
2.38,1,7,1.346,0
1.15,1,2,0.462,-1
6.48,2,21,5.072,1
4.88,2,17,3.67,-1
0.19,0,1,0.112,1
0.59,0,1,0.4,1
0.67,0,4,0.67,0
1.13,0,6,1.13,0
0.36,0,2,0.36,1
3.06,2,12,2.052,1
0.56,0,2,0.496,1
0.13,0,1,0.13,1
5.27,1,20,3.44,0
0.44,0,1,0.44,0
0.52,0,1,0.436,1
4.05,0,21,3.6,1
1.64,1,5,0.89,0
1.37,0,9,1.354,1
1.16,0,3,0.822,1
3.63,1,16,3.076,0
2.71,0,17,2.71,1
1.22,0,6,0.902,0
0.44,0,1,0.44,0
1.48,0,8,1.312,0
0.65,0,1,0.608,-1
3.26,1,18,2.716,-1
2.61,2,3,1.602,0
0.96,0,3,0.96,1
2.08,0,8,1.48,1
0.62,0,2,0.256,1
5.69,1,28,5.262,0
4.35,3,14,2.962,0
0.98,0,5,0.94,0
0.5,0,2,0.5,0
1.54,0,1,0.656,0
2.8,1,2,0.944,1
0.62,0,3,0.488,1
5.33,0,23,4.224,1
0.46,0,1,0.436,0
2.03,0,15,1.948,-1
1.27,0,2,0.304,1
0.76,0,3,0.704,0
1.78,0,6,1.2,1
0.33,0,2,0.324,1
1.06,0,4,1.052,0
1.37,0,9,1.37,1
1.88,0,13,1.88,1
0.34,0,2,0.32,0
1.13,0,4,0.784,0
0.47,0,1,0.448,1
1.11,0,5,1.11,1
0.19,0,1,0.19,1
1.03,0,4,1.03,1
2.35,0,12,2.29334,1
0.26,0,2,0.208,1
1.11,0,1,0.544,0
2.89,2,11,1.888,1
1.27,1,2,0.51066,1
0.84,0,4,0.84,1
3.04,1,10,2.67066,1
0.49,0,1,0.49,0
1.17,0,8,1.17,1
0.1,0,1,0.0,1
0.75,0,1,0.112,1
0.68,0,4,0.512,1
0.12,0,1,0.112,0
0.63,0,3,0.63,1
1.62,2,5,0.87866,1
0.54,0,4,0.0,1
0.33,0,3,0.29666,1
1.6,0,4,1.54466,-1
2.72,0,15,2.72,1
4.56,1,15,4.128,1
4.95,2,20,3.67,1
0.51,0,3,0.51,1
4.01,1,22,3.274,0
0.79,0,1,0.27134,1
6.85,3,13,4.432,1
1.43,0,2,0.368,1
0.56,0,4,0.54266,1
0.41,0,3,0.41,-1
4.11,2,12,2.254,1
1.31,0,8,1.31,1
3.36,1,19,3.024,1
0.36,0,2,0.36,1
0.92,0,5,0.80334,-1
0.17,0,1,0.14666,1
0.22,0,1,0.22,1
4.53,1,23,4.226,1
4.39,1,25,4.07334,1
0.24,0,1,0.24,0
4.81,0,24,3.872,1
4.06,0,19,3.312,1
3.93,2,14,2.54066,1
8.41,3,38,6.442,1
1.5,0,10,1.5,0
3.68,0,21,3.62934,1
1.66,0,10,1.39066,1
1.55,0,8,1.55,1
2.38,0,2,2.38,1
5.95,0,25,5.91866,0
5.22,1,23,4.452,1
3.18,1,16,2.828,1
3.7,1,17,3.364,1
1.31,0,1,1.25666,1
4.38,0,27,4.38,0
9.8,3,45,7.91534,1
0.74,0,3,0.67266,1
2.27,0,12,2.27,1
2.81,0,19,2.81,1
3.79,0,18,3.75134,0
0.41,0,3,0.41,1
0.31,0,2,0.31,1
1.45,0,9,1.45,1
0.49,0,1,0.20134,1
0.83,0,1,0.57066,0
3.82,2,4,2.14934,1
3.73,0,9,3.70466,1
2.92,1,12,2.376,1
3.69,2,13,2.762,1
1.76,0,10,1.76,0
3.02,0,15,3.02,1
0.63,0,4,0.63,1
0.85,0,6,0.85,1
6.32,2,21,4.49734,1
0.89,0,5,0.88866,0
3.29,2,13,2.458,1
1.59,0,10,1.59,1
4.81,0,18,4.19934,1
4.34,0,23,3.856,1
0.91,0,4,0.86866,-1
3.52,1,13,2.608,1
4.57,1,17,3.62734,1
3.64,1,12,2.32,1
1.69,0,13,1.66466,1
1.86,0,11,1.83934,-1
4.47,1,14,3.398,1
1.78,0,8,1.78,1
2.4,0,9,1.97734,1
0.71,0,2,0.368,1
1.55,0,10,1.45066,-1
1.52,1,6,1.2,1
2.97,1,14,2.618,1
1.27,0,3,1.27,1
2.12,1,6,1.672,1
2.39,0,13,1.88534,0
2.0,0,10,1.96066,1
4.86,1,14,3.79934,1
3.87,0,19,3.328,1
2.52,0,9,2.47466,1
3.03,1,11,2.26134,0
2.03,0,10,1.696,1
2.98,1,18,2.64266,1
1.59,1,9,1.238,1
2.56,0,8,2.24734,1
0.55,0,1,0.52666,-1
2.73,0,14,2.73,1
6.42,1,22,6.02,1
3.75,0,14,3.75,1
2.46,1,5,1.484,1
3.56,0,18,3.56,0
5.14,1,26,4.836,1
2.63,1,12,1.78734,1
3.58,0,17,3.54266,1
1.64,0,6,0.92134,1
5.01,0,15,3.76,0
1.51,0,6,1.152,1
4.66,0,22,4.60266,1
2.72,1,8,1.71734,1
1.29,0,1,0.688,1
3.26,0,16,3.21666,0
1.97,0,14,1.97,1
1.53,0,11,1.53,1
4.05,1,12,3.554,1
2.65,0,8,1.61734,1
1.51,0,7,1.48666,-1
0.92,0,3,0.92,1
2.79,0,12,2.79,1
2.64,1,12,1.712,1
1.47,0,3,1.47,1
0.76,0,3,0.30134,-1
1.04,0,1,0.176,1
2.46,0,11,2.27866,1
1.9,0,8,1.28934,1
4.01,1,15,3.28,1
1.8,1,5,0.512,-1
0.33,0,1,0.30266,1
0.76,0,4,0.71866,1
0.14,0,1,0.14,1
3.56,1,14,3.016,1
1.64,0,4,1.64,-1
3.72,1,16,3.32,1
8.19,2,31,7.422,1
1.78,0,10,1.78,1
3.71,2,11,2.894,1
0.29,0,1,0.29,-1
1.03,0,2,1.01066,1
2.59,0,11,2.59,1
5.63,2,20,4.462,1
3.16,1,13,2.696,1
5.42,0,30,5.42,-1
8.77,3,27,6.65334,1
6.22,2,27,5.07266,1
4.2,1,20,3.31134,1
0.26,0,1,0.23266,1
2.39,0,11,2.38266,0
3.51,0,19,3.02534,1
4.94,2,23,4.00066,1
0.41,0,2,0.41,1
1.3,0,6,1.3,1
1.8,1,6,1.496,0
4.33,2,22,3.562,1
2.47,0,13,2.17534,1
1.34,0,8,1.33066,1
8.85,1,35,7.67734,1
2.62,0,13,2.57666,0
3.3,0,19,3.3,1
1.45,0,6,1.45,1
3.59,0,16,3.59,1
5.9,0,28,5.37134,1
1.69,0,16,1.67466,0
1.25,0,5,1.25,1
4.03,0,21,3.57734,1
1.72,0,6,0.976,1
3.93,0,21,3.86266,1
3.45,0,17,3.45,0
2.62,0,11,2.25534,1
5.82,0,31,5.78466,1
3.72,1,16,3.144,1
2.84,1,14,2.504,1
5.12,1,21,4.816,0
0.46,0,1,0.45534,1
0.56,0,4,0.528,1
3.75,1,17,3.04266,1
4.66,0,16,4.09334,1
1.92,0,6,1.152,-1
1.65,0,6,1.248,1
1.69,0,8,1.152,1
4.34,0,21,3.888,1
5.07,2,24,4.10066,1
6.43,2,30,4.61934,-1
3.54,0,19,3.264,1
4.17,0,18,3.66466,1
2.39,0,12,1.82334,1
3.33,0,16,2.816,1
2.3,0,11,2.0,-1
3.04,0,14,2.99666,1
1.05,0,4,1.05,1
0.23,0,1,0.23,1
2.18,0,5,0.864,1
2.66,0,13,2.61266,-1
3.96,0,13,3.19534,1
3.65,1,5,2.70266,1
1.09,0,3,0.68934,1
4.72,1,19,4.27266,1
1.83,1,5,1.014,-1
2.45,0,10,2.45,1
2.67,0,11,2.67,1
0.8,0,7,0.8,1
0.89,0,7,0.89,1
6.68,3,21,4.38334,-1
2.86,0,17,2.83666,1
0.55,0,3,0.55,1
0.21,0,1,0.20066,1
1.79,0,10,1.79,1
1.57,0,8,1.57,-1
4.06,1,11,3.47934,1
0.51,0,1,0.46666,1
0.27,0,1,0.26666,1
0.19,0,1,0.19,1
0.18,0,1,0.15466,0
4.12,0,18,3.696,1
5.16,1,26,4.75066,1
1.36,0,7,1.36,1
2.46,1,5,1.31334,1
2.42,0,17,2.38266,-1
2.8,1,6,2.448,1
0.19,0,1,0.19,1
1.03,0,4,1.03,1
2.35,0,12,2.29334,1
0.26,0,2,0.208,0
9.27,3,21,6.56934,1
0.94,0,5,0.93666,1
1.43,1,2,0.582,1
1.11,0,1,0.544,1
2.89,2,11,1.888,0
6.16,2,15,4.28734,1
1.27,1,2,0.51066,1
7.4,2,25,6.16666,1
3.37,0,14,2.848,1
0.84,0,4,0.84,-1
3.04,1,10,2.67066,1
0.49,0,1,0.49,1
1.17,0,8,1.17,1
0.1,0,1,0.0,1
0.75,0,1,0.112,-1
0.68,0,4,0.512,1
0.12,0,1,0.112,1
0.63,0,3,0.63,1
2.55,0,8,2.49866,1
1.62,2,5,0.87866,-1
0.54,0,4,0.0,1
0.33,0,3,0.29666,1
1.6,0,4,1.54466,1
2.72,0,15,2.72,1
4.56,1,15,4.128,0
4.95,2,20,3.67,1
0.51,0,3,0.51,1
4.01,1,22,3.274,1
0.79,0,1,0.27134,1
6.85,3,13,4.432,0
1.43,0,2,0.368,1
0.56,0,4,0.54266,1
0.41,0,3,0.41,1
4.11,2,12,2.254,1
1.31,0,8,1.31,0
3.36,1,19,3.024,1
0.36,0,2,0.36,1
0.92,0,5,0.80334,1
0.17,0,1,0.14666,1
0.22,0,1,0.22,-1
4.53,1,23,4.226,1
4.39,1,25,4.07334,1
0.24,0,1,0.24,1
4.81,0,24,3.872,1
3.93,2,14,2.54066,-1
8.41,3,38,6.442,1
1.5,0,10,1.5,1
3.68,0,21,3.62934,1
1.66,0,10,1.39066,1
1.55,0,8,1.55,-1
2.38,0,2,2.38,1
5.1,1,16,4.45666,1
5.95,0,25,5.91866,1
